task_id,epic_id,epic_name,title,goal,priority,dependencies,inputs,outputs,subtasks,acceptance_criteria
E00-T01,E00,Governance and operating model,Зафиксировать цели проекта и бизнес-вопросы,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,,config files; repository state,artifact for зафиксировать цели проекта и бизнес-вопросы,"Уточнить границы и инварианты для задачи ""Зафиксировать цели проекта и бизнес-вопросы"" | Реализовать основной функциональный путь для задачи ""Зафиксировать цели проекта и бизнес-вопросы"" | Добавить логирование, артефакты и manifests для задачи ""Зафиксировать цели проекта и бизнес-вопросы"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T02,E00,Governance and operating model,Зафиксировать неразрешенные риски и ограничения,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T01,config files; repository state,artifact for зафиксировать неразрешенные риски и ограничения,"Уточнить границы и инварианты для задачи ""Зафиксировать неразрешенные риски и ограничения"" | Реализовать основной функциональный путь для задачи ""Зафиксировать неразрешенные риски и ограничения"" | Добавить логирование, артефакты и manifests для задачи ""Зафиксировать неразрешенные риски и ограничения"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T03,E00,Governance and operating model,Определить RACI по ролям исследователь/инженер/reviewer,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T02,config files; repository state,artifact for определить raci по ролям исследователь/инженер/reviewer,"Уточнить границы и инварианты для задачи ""Определить RACI по ролям исследователь/инженер/reviewer"" | Реализовать основной функциональный путь для задачи ""Определить RACI по ролям исследователь/инженер/reviewer"" | Добавить логирование, артефакты и manifests для задачи ""Определить RACI по ролям исследователь/инженер/reviewer"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T04,E00,Governance and operating model,Описать Definition of Done для каждой фазы,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T03,config files; repository state,artifact for описать definition of done для каждой фазы,"Уточнить границы и инварианты для задачи ""Описать Definition of Done для каждой фазы"" | Реализовать основной функциональный путь для задачи ""Описать Definition of Done для каждой фазы"" | Добавить логирование, артефакты и manifests для задачи ""Описать Definition of Done для каждой фазы"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T05,E00,Governance and operating model,Утвердить naming conventions и versioning policy,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T04,config files; repository state,artifact for утвердить naming conventions и versioning policy,"Уточнить границы и инварианты для задачи ""Утвердить naming conventions и versioning policy"" | Реализовать основной функциональный путь для задачи ""Утвердить naming conventions и versioning policy"" | Добавить логирование, артефакты и manifests для задачи ""Утвердить naming conventions и versioning policy"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T06,E00,Governance and operating model,Утвердить политику работы с экспериментами и rollback,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T05,config files; repository state,artifact for утвердить политику работы с экспериментами и rollback,"Уточнить границы и инварианты для задачи ""Утвердить политику работы с экспериментами и rollback"" | Реализовать основной функциональный путь для задачи ""Утвердить политику работы с экспериментами и rollback"" | Добавить логирование, артефакты и manifests для задачи ""Утвердить политику работы с экспериментами и rollback"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T07,E00,Governance and operating model,Утвердить policy по raw data immutability,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T06,config files; repository state,artifact for утвердить policy по raw data immutability,"Уточнить границы и инварианты для задачи ""Утвердить policy по raw data immutability"" | Реализовать основной функциональный путь для задачи ""Утвердить policy по raw data immutability"" | Добавить логирование, артефакты и manifests для задачи ""Утвердить policy по raw data immutability"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T08,E00,Governance and operating model,Определить ревью-чеклист для anti-leakage,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T07,config files; repository state,artifact for определить ревью-чеклист для anti-leakage,"Уточнить границы и инварианты для задачи ""Определить ревью-чеклист для anti-leakage"" | Реализовать основной функциональный путь для задачи ""Определить ревью-чеклист для anti-leakage"" | Добавить логирование, артефакты и manifests для задачи ""Определить ревью-чеклист для anti-leakage"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T09,E00,Governance and operating model,Сформировать план демонстрации результатов hiring-manager-уровня,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T08,config files; repository state,artifact for сформировать план демонстрации результатов hiring-manager-уровня,"Уточнить границы и инварианты для задачи ""Сформировать план демонстрации результатов hiring-manager-уровня"" | Реализовать основной функциональный путь для задачи ""Сформировать план демонстрации результатов hiring-manager-уровня"" | Добавить логирование, артефакты и manifests для задачи ""Сформировать план демонстрации результатов hiring-manager-уровня"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
E00-T10,E00,Governance and operating model,Подготовить master glossary по терминам и сокращениям,"Реализовать завершенный LEGO-компонент в эпике ""Governance and operating model"" без скрытых зависимостей и с явными acceptance criteria.",P0,E00-T09,config files; repository state,artifact for подготовить master glossary по терминам и сокращениям,"Уточнить границы и инварианты для задачи ""Подготовить master glossary по терминам и сокращениям"" | Реализовать основной функциональный путь для задачи ""Подготовить master glossary по терминам и сокращениям"" | Добавить логирование, артефакты и manifests для задачи ""Подготовить master glossary по терминам и сокращениям"" | Покрыть задачу тестами и подготовить acceptance evidence","Код или спецификация добавлены в соответствующий модуль | Все обязательные поля/артефакты сохраняются | Логи, manifests и метрики доступны для ревью | Нет нарушения point-in-time и anti-leakage инвариантов"
